[Mon Jul 20 16:50:04.028337 2015] [core:alert] [pid 6632:tid 139794724517632] [client 127.0.0.1:58808] /home/tuyennt/git/enjin-vn/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Jul 21 09:47:51.152814 2015] [:error] [pid 4876] [client 127.0.0.1:53137] PHP Fatal error:  Class 'CI_Form_validation' not found in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Form.php on line 3, referer: http://enjin.local/check
[Tue Jul 21 09:48:28.461852 2015] [:error] [pid 4587] [client 127.0.0.1:53154] PHP Fatal error:  Class 'CI_Form_validation' not found in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Form.php on line 3, referer: http://enjin.local/check
[Tue Jul 21 09:49:59.585448 2015] [:error] [pid 4590] [client 127.0.0.1:53182] PHP Fatal error:  require(): Failed opening required '/home/tuyennt/git/enjin-vn/application//libraries/Form_validation.php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Form.php on line 2, referer: http://enjin.local/check
[Tue Jul 21 10:07:27.467162 2015] [:error] [pid 4872] [client 127.0.0.1:53463] PHP Fatal error:  Call to private method CanCandidates::date_check() from context 'CI_Form_validation' in /home/tuyennt/git/enjin-vn/system/libraries/Form_validation.php on line 744, referer: http://enjin.local/check
[Wed Jul 22 10:33:54.311231 2015] [:error] [pid 3463] [client 127.0.0.1:46537] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /home/tuyennt/git/enjin-vn/application/helpers/enjin_helper.php on line 6, referer: http://enjin.local/check
[Wed Jul 22 10:43:27.292385 2015] [:error] [pid 3462] [client 127.0.0.1:46627] PHP Fatal error:  Using $this when not in object context in /home/tuyennt/git/enjin-vn/application/helpers/enjin_helper.php on line 9, referer: http://enjin.local/check
[Wed Jul 22 10:46:53.450474 2015] [:error] [pid 3465] [client 127.0.0.1:46655] PHP Fatal error:  Call to a member function library() on null in /home/tuyennt/git/enjin-vn/application/helpers/enjin_helper.php on line 3, referer: http://enjin.local/check
[Wed Jul 22 10:49:43.265968 2015] [:error] [pid 6060] [client 127.0.0.1:46687] PHP Fatal error:  Call to undefined method CI_Loader::new_helper() in /home/tuyennt/git/enjin-vn/application/controllers/CanCandidates.php on line 156, referer: http://enjin.local/check
[Wed Jul 22 11:06:11.026648 2015] [:error] [pid 3462] [client 127.0.0.1:47027] PHP Fatal error:  Call to undefined method CanCandidates::numeric_hyphen() in /home/tuyennt/git/enjin-vn/application/controllers/CanCandidates.php on line 158, referer: http://enjin.local/check
[Wed Jul 22 11:10:30.128208 2015] [:error] [pid 3464] [client 127.0.0.1:47162] PHP Fatal error:  Call to undefined method CanCandidates::numeric_hyphen() in /home/tuyennt/git/enjin-vn/application/controllers/CanCandidates.php on line 159, referer: http://enjin.local/check
[Wed Jul 22 11:13:41.230646 2015] [:error] [pid 6036] [client 127.0.0.1:47229] PHP Fatal error:  Call to undefined method CanCandidates::numeric_hyphen() in /home/tuyennt/git/enjin-vn/application/controllers/CanCandidates.php on line 159, referer: http://enjin.local/check
[Wed Jul 22 16:02:39.556754 2015] [:error] [pid 3463] [client 127.0.0.1:52853] PHP Fatal error:  Call to undefined method Token::checkapiKey() in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 50, referer: http://enjin.local/check
[Wed Jul 22 16:03:47.659406 2015] [:error] [pid 3466] [client 127.0.0.1:52869] PHP Fatal error:  Call to undefined method Token::checkapiKey() in /home/tuyennt/git/enjin-vn/application/controllers/Token.php on line 20, referer: http://enjin.local/check
[Thu Jul 23 09:02:26.228428 2015] [core:error] [pid 3720] [client 127.0.0.1:49937] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
[Thu Jul 23 09:02:58.657600 2015] [core:error] [pid 3717] [client 127.0.0.1:49953] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://enjin.local/index.php/check
[Thu Jul 23 09:03:11.227191 2015] [core:error] [pid 3718] [client 127.0.0.1:49954] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://enjin.local/index.php/check
[Thu Jul 23 09:03:28.122974 2015] [core:error] [pid 3720] [client 127.0.0.1:49958] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://enjin.local/index.php/check
[Thu Jul 23 09:03:43.731237 2015] [core:error] [pid 3719] [client 127.0.0.1:49959] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://enjin.local/index.php/check
[Thu Jul 23 09:05:49.457440 2015] [core:error] [pid 3717] [client 127.0.0.1:49985] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://enjin.local/index.php/check
[Thu Jul 23 09:09:08.420417 2015] [core:error] [pid 3719] [client 127.0.0.1:50029] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
[Thu Jul 23 09:09:25.810757 2015] [core:error] [pid 3721] [client 127.0.0.1:50035] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
[Thu Jul 23 09:41:09.019427 2015] [:error] [pid 4940] [client 127.0.0.1:50461] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andWhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:41:20.841129 2015] [:error] [pid 3717] [client 127.0.0.1:50463] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andwhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:41:21.583409 2015] [:error] [pid 3718] [client 127.0.0.1:50464] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andwhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:41:22.159040 2015] [:error] [pid 3720] [client 127.0.0.1:50465] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andwhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:41:22.334442 2015] [:error] [pid 3719] [client 127.0.0.1:50466] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andwhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:41:22.543242 2015] [:error] [pid 3721] [client 127.0.0.1:50467] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::andwhere() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 09:42:12.746280 2015] [:error] [pid 4940] [client 127.0.0.1:50477] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::and_where() in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 35, referer: http://enjin.local/check
[Thu Jul 23 11:30:32.235112 2015] [:error] [pid 3717] [client 127.0.0.1:52246] PHP Fatal error:  Class 'Can_Model' not found in /home/tuyennt/git/enjin-vn/application/models/Languages_model.php on line 8, referer: http://enjin.local/check
[Thu Jul 23 13:18:44.537103 2015] [:error] [pid 3720] [client 127.0.0.1:53764] PHP Fatal error:  Call to undefined method Qualifications_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 27, referer: http://enjin.local/check
[Thu Jul 23 13:19:10.193960 2015] [:error] [pid 3717] [client 127.0.0.1:53781] PHP Fatal error:  Call to undefined method Qualifications_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 27, referer: http://enjin.local/check
[Thu Jul 23 13:37:27.908274 2015] [:error] [pid 6545] [client 127.0.0.1:54227] PHP Fatal error:  Call to undefined method Qualifications::checkValidations() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 187, referer: http://enjin.local/check
[Thu Jul 23 13:38:43.396963 2015] [:error] [pid 12146] [client 127.0.0.1:54236] PHP Fatal error:  Call to undefined method Qualifications::checkValidations() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 187, referer: http://enjin.local/check
[Thu Jul 23 13:38:44.314514 2015] [:error] [pid 4940] [client 127.0.0.1:54238] PHP Fatal error:  Call to undefined method Qualifications::checkValidations() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 187, referer: http://enjin.local/check
[Thu Jul 23 13:38:44.731784 2015] [:error] [pid 3717] [client 127.0.0.1:54239] PHP Fatal error:  Call to undefined method Qualifications::checkValidations() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 187, referer: http://enjin.local/check
[Thu Jul 23 13:39:44.339302 2015] [:error] [pid 3718] [client 127.0.0.1:54251] PHP Fatal error:  Call to undefined method Qualifications::checkValidations() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 187, referer: http://enjin.local/check
[Thu Jul 23 13:59:54.063356 2015] [:error] [pid 4940] [client 127.0.0.1:54517] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:00:35.022257 2015] [:error] [pid 3717] [client 127.0.0.1:54536] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:00:57.599889 2015] [:error] [pid 6547] [client 127.0.0.1:54537] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:00:58.483060 2015] [:error] [pid 6544] [client 127.0.0.1:54538] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:01:26.920262 2015] [:error] [pid 11938] [client 127.0.0.1:54545] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:02:38.698993 2015] [:error] [pid 12146] [client 127.0.0.1:54564] PHP Fatal error:  Cannot redeclare class Enjin_Controller in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Controller.php on line 0, referer: http://enjin.local/check
[Thu Jul 23 14:02:59.420267 2015] [:error] [pid 3717] [client 127.0.0.1:54570] PHP Fatal error:  require(): Failed opening required '/home/tuyennt/git/enjin-vn/application//models/Can_model_php' (include_path='.:/usr/share/php:/usr/share/pear') in /home/tuyennt/git/enjin-vn/application/models/Cancandidates_model.php on line 8, referer: http://enjin.local/check
[Fri Jul 24 13:39:36.641720 2015] [:error] [pid 10972] [client 127.0.0.1:58497] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 13:44:00.995490 2015] [:error] [pid 4246] [client 127.0.0.1:58601] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 39, referer: http://enjin.local/check
[Fri Jul 24 14:00:49.215173 2015] [:error] [pid 10972] [client 127.0.0.1:58845] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:02:07.742796 2015] [:error] [pid 4248] [client 127.0.0.1:58877] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:02:20.367104 2015] [:error] [pid 10711] [client 127.0.0.1:58882] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:02:21.315060 2015] [:error] [pid 8199] [client 127.0.0.1:58883] PHP Fatal error:  Wrong parameters for Exception([string $exception [, long $code [, Exception $previous = NULL]]]) in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:14:58.480230 2015] [:error] [pid 10951] [client 127.0.0.1:59171] PHP Fatal error:  Call to undefined function Exception() in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:20:56.245529 2015] [:error] [pid 4248] [client 127.0.0.1:59206] PHP Parse error:  syntax error, unexpected ')' in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:21:38.002382 2015] [:error] [pid 10711] [client 127.0.0.1:59219] PHP Parse error:  syntax error, unexpected ')' in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 38, referer: http://enjin.local/check
[Fri Jul 24 14:24:28.926213 2015] [:error] [pid 10709] [client 127.0.0.1:59291] PHP Fatal error:  Class 'Response' not found in /home/tuyennt/git/enjin-vn/application/controllers/Classification.php on line 42, referer: http://enjin.local/check
[Mon Aug 10 11:51:12.332303 2015] [:error] [pid 6233] [client 127.0.0.1:37649] PHP Fatal error:  Call to a member function setCanCandidateId() on null in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 11:51:58.851744 2015] [:error] [pid 5438] [client 127.0.0.1:37650] PHP Fatal error:  Call to undefined method Histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 11:52:34.984835 2015] [:error] [pid 5440] [client 127.0.0.1:37651] PHP Fatal error:  Call to undefined method Histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 11:53:56.806348 2015] [:error] [pid 6230] [client 127.0.0.1:37660] PHP Fatal error:  Call to undefined method Histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
