求人ID,自社ID,賞与,給与,仕事内容
83525,,"※こちらダミー原稿となります

園児37名乳児◆早遅番なしの勤務もOK",,
83553,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
●昇給　1回/年、賞与　2回/年（平均3か月）
●交通費全額支給、
●食事補助あり
●社会保険（健康保険・厚生年金保険）、雇用保険
●海外研修年1回・九州研修年3回・ほか研修多数
●保育所お預け優遇（地区による） 
※平成27年3月までは185，000円～"
83554,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83555,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担など（※当社規定による）
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による） 
※平成27年3月までは185,000円～"
83556,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 270,000円～350,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
83557,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 270,000円～350,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
83558,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 270,000円～350,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担、借上社宅制度、住宅手当など（※当社規定による）
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
83559,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83560,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 270,000円～350,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担、借上社宅制度など（※当社規定による）
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修"
83561,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 270,000円～350,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担、借上社宅制度など（※当社規定による）
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修"
83563,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 185,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修 
※平成27年3月までは175,000円～"
83564,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83565,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による） 
※平成27年3月までは185,000円～"
83566,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
※平成27年3月までは185,000円～"
83567,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
83568,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
83569,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修"
83570,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修"
83571,,"自分のこどもを入れたい！！
そう思えるような保育園を一緒に作っていきませんか？","月給 195,000円～215,000円","
・保険：厚生年金・健康保険・雇用保険・労災保険
・手当：通勤手当、研修費全額法人負担
・昇給：年1回
・賞与：年2回（職員平均約3ヶ月）
・海外研修年1回、九州研修ほか充実の各種研修
・保育所お預け優遇（地域による）"
