ads_group_id,name,description,ordered,status,created,area_id,type
,none,なし,,1,,,0
,job_right_navi,求人票表示コンテンツ(右サイドバー),,1,,,1
,job_content_upper,求人票表示コンテンツ(U_1上部),,1,,,2
,job_content_lower,求人票表示コンテンツ(U_2下部),,1,,,3
,text_right_navi,テキストリンク（短い文字列×リンクがついたもの） (右サイドバー),,1,,,4
,partner_right_navi,パートナーズサイト(右サイドバー),,1,,,5
,banner_content_upper_banner,バナー画像(U_1上部),,1,,,6
,banner_content_lower_banner,バナー画像(U_1下部),,1,,,7
,banner_right_navi_upper,バナー画像(右サイドバー上部),,1,,,8
,banner_right_navi_lower,バナー画像(右サイドバー下部),,1,,,9
